memberid,schemeid,levelid,sec_type,sec_parameter,created,updated,group_sec_parameter
10011,10001,10005,assignee,,2023-11-14T08:15:49.047995Z,2023-11-14T08:15:49.047995Z,
10016,10001,10006,assignee,,2023-11-14T08:15:49.082122Z,2023-11-14T08:15:49.082122Z,
13146,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:16:23.816917Z,2023-11-14T10:16:23.816917Z,Active-People
14724,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T11:57:34.269777Z,2023-11-14T11:57:34.269777Z,Active-People
13308,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:21:52.106759Z,2023-11-14T10:21:52.106759Z,Active-People
10766,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:46:59.993042Z,2023-11-14T08:46:59.993042Z,Active-People
11382,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:09:41.764352Z,2023-11-14T09:09:41.764352Z,Active-People
13821,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:42:02.575838Z,2023-11-14T10:42:02.575838Z,Active-People
10712,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:44:47.29776Z,2023-11-14T08:44:47.29776Z,Active-People
14211,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T11:05:20.600585Z,2023-11-14T11:05:20.600585Z,Active-People
10982,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:55:51.444025Z,2023-11-14T08:55:51.444025Z,Active-People
14733,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T11:57:51.83912Z,2023-11-14T11:57:51.83912Z,Active-People
10631,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:41:29.992216Z,2023-11-14T08:41:29.992216Z,Active-People
11757,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:26:19.784794Z,2023-11-14T09:26:19.784794Z,Active-People
12201,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:42:13.588883Z,2023-11-14T09:42:13.588883Z,Active-People
11946,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:33:54.125545Z,2023-11-14T09:33:54.125545Z,Active-People
13533,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:30:18.774777Z,2023-11-14T10:30:18.774777Z,Active-People
15267,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:38:03.721756Z,2023-11-14T12:38:03.721756Z,Active-People
11247,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:04:38.940661Z,2023-11-14T09:04:38.940661Z,Active-People
14742,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T11:58:07.74999Z,2023-11-14T11:58:07.74999Z,Active-People
15576,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T13:04:51.100833Z,2023-11-14T13:04:51.100833Z,Active-People
10029,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:16:25.544421Z,2023-11-14T08:16:25.544421Z,Active-People
14220,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T11:06:01.173703Z,2023-11-14T11:06:01.173703Z,Active-People
13830,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:42:34.449884Z,2023-11-14T10:42:34.449884Z,Active-People
10604,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:40:51.084166Z,2023-11-14T08:40:51.084166Z,Active-People
10020,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:15:54.307036Z,2023-11-14T08:15:54.307036Z,Active-People
10568,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:38:48.640989Z,2023-11-14T08:38:48.640989Z,Active-People
14751,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T11:58:54.807299Z,2023-11-14T11:58:54.807299Z,Active-People
13317,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:22:25.056607Z,2023-11-14T10:22:25.056607Z,Active-People
10865,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:50:58.634641Z,2023-11-14T08:50:58.634641Z,Active-People
12210,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:42:20.778422Z,2023-11-14T09:42:20.778422Z,Active-People
13542,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:30:44.090453Z,2023-11-14T10:30:44.090453Z,Active-People
14229,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T11:06:56.374305Z,2023-11-14T11:06:56.374305Z,Active-People
12732,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:01:44.3078Z,2023-11-14T10:01:44.3078Z,Active-People
11628,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:19:16.17852Z,2023-11-14T09:19:16.17852Z,Active-People
